단어,빈도
궁금해,16
시속,16
신나요,16
긍정,16
저작권,16
실수,16
근사한,16
전교,16
쏠,16
제외,16
센치함이,16
금은,15
치기,15
청량,15
제주도,15
사색,15
귀찮을,15
야간,15
섹시한,15
목걸이,15
뽀송하게,15
명절,15
그리워하며,15
블랙,15
촉촉하게,15
행복할,15
에펠탑,15
뒷골목,15
부질없다,15
좋다,15
베를린,15
코코아,15
등장씬,15
얼마나,15
푸릇푸릇,15
푸르른,15
포르투,15
나기,15
바질,15
미안해,15
요정,15
싫은,15
건행,15
설레게,15
유명하지,15
투샷,15
어떄,15
태연,15
합,15
합격,15
음,15
자기야,15
키치,15
봄밤,15
클라우드,15
몽골,15
봄볕,15
머,15
잠수교,15
브라운아이드소울,15
임영웅,15
성지,15
후회될,15
아쉬운,15
일렉트로닉,15
매번,15
새벽녘,15
아아,15
좋은지,15
아까운데,15
시원함,15
설날,15
작심삼일,15
잔잔함과,15
가득했어,15
세상만사,15
나이,15
북미,14
발끝,14
부스터,14
아니거나,14
일어나서,14
미안,14
올드팝,14
온도,14
피렌체,14
몰입,14
자기,14
붉게,14
애가,14
스타일리시,14
없을까,14
강변,14
성냥,14
그럴지도,14
특별해질,14
시원해서,14
쉼표,14
유니온,14
정거장,14
톡톡,14
자락,14
정석,14
얘기,14
거나,14
펌프,14
보이,14
있나보다,14
서나,14
필요하니까,14
요런,14
다정하게,14
아마,14
제격,14
려고,14
압로,14
때내,14
있을게요,14
시크,14
포근하고,14
차분하게,14
뻔하지,14
좋기,14
시시한,14
담담하게,14
냉치냉,14
즐감,14
아이폰,14
고요,14
메이커,14
청량함의,14
메뉴,14
나이키,14
표,14
뚝섬유원지역,14
채운,14
홈,14
향기로,14
지도,14
출근,14
행복해진다,14
모드,14
경쾌하고,13
혹시,13
기록,13
좋아하시냐,13
길은,13
지겹고,13
거기,13
호숫가,13
얼,13
보리차,13
옥상,13
첫사랑,13
소나타,13
신스팝,13
없고,13
순서도,13
비주,13
없는가수,13
없을거에요,13
희망,13
그룹,13
지름신,13
안되는,13
한국인,13
핑크색,13
멋짐,13
고마워요,13
알프스,13
풋풋하고,13
설레임,13
잔잔하니,13
좋아하세요,13
오존,13
추리,13
불안한,13
야하는,13
젤라또,13
주문,13
쇼핑,13
마저,13
후회,13
없겠지,13
지고,13
아쉬워,13
안해,13
풋풋함을,13
컴퓨터,13
슬픔,13
공감,13
맴도,13
람보르기니,13
랭,13
높은,13
넷플릭스,13
이유,13
산뜻,13
개인,13
바람결,13
장착,13
많을,13
거림,12
남아,12
평,12
론,12
따뜻해지는,12
우려,12
스코틀랜드,12
베니,12
방해,12
산,12
몰트,12
착각,12
볼륨,12
해소,12
혹쉬,12
훌쩍,12
컨셉,12
없어서,12
달리,12
새로,12
조합,12
더욱,12
좋아하잖아,12
사랑스러운,12
싱글,12
높이,12
빡센,12
김,12
시원시원한,12
잔잔하면서,12
꽃잎,12
자존감,12
무작정,12
걸그룹,12
레이브,12
처럼,12
사이다,12
트렌치코트,12
막,12
옷,12
길게,12
신나지,12
보름달,12
수제,12
정통,12
게으름,12
막차,12
고독,12
오키,12
적재,11
남방,11
끼,11
왜케,11
우산,11
그런거야,11
힘들어서,11
맑은,11
행복지수,11
흐트러진,11
강박,11
