단어,빈도
나이키,14
지도,14
특별해질,14
침대,14
필요하니까,14
쉼표,14
시시한,14
온도,14
헤,14
다정하게,14
유니온,14
자락,14
올드팝,14
애가,14
있나보다,14
일어나서,14
북미,14
정거장,14
려고,14
피렌체,14
정석,14
향기로,14
몰입,14
얘기,14
미안,14
첫사랑,13
옥상,13
산뜻,13
장소,13
슬픔,13
랭,13
불안한,13
호숫가,13
주문,13
오존,13
서로,13
풋풋하고,13
호수,13
풋풋함을,13
좋아하세요,13
아쉬워,13
지겹고,13
보리차,13
넷플릭스,13
알프스,13
혹시,13
이유,13
복판,13
설레임,13
핑크색,13
없겠지,13
많을,13
잔잔하니,13
마저,13
없고,13
신스팝,13
공감,13
비주,13
안해,13
멋짐,13
쇼핑,13
지름신,13
지고,13
안되는,13
한국인,13
얼,13
그룹,13
없는가수,13
거기,13
맴도,13
젤라또,13
길은,13
야하는,13
있도록,13
컴퓨터,13
경쾌하고,13
희망,13
소나타,13
람보르기니,13
장착,13
누구,12
신나지,12
오키,12
좋아하잖아,12
김,12
레이브,12
보름달,12
빡센,12
새로,12
산,12
없어서,12
막,12
트렌치코트,12
고독,12
컨셉,12
길게,12
시원시원한,12
포크,12
무작정,12
옷,12
볼륨,12
거림,12
처럼,12
혹쉬,12
론,12
남아,12
잔잔하면서,12
훌쩍,12
착각,12
해소,12
사랑스러운,12
걸그룹,12
자존감,12
조합,12
막차,12
높이,12
달리,12
우려,12
평,12
방해,12
꽃잎,12
사이다,12
기운,11
행복지수,11
찬,11
흐트러진,11
우산,11
근사해져,11
준형,11
심,11
뉴에이지,11
바보,11
무심코,11
보이스,11
리드미컬하며,11
기리보이,11
빡샌,11
맑은,11
힘든,11
짐,11
죠지,11
힘들어서,11
반해서,11
맘,11
전부,11
세번,11
수면제,11
발,11
존나,11
엄지,11
출근길,11
숲,11
남방,11
깡,11
쉬워,11
있었으면,11
본능,11
놨는데,11
김뮤,11
기타,11
질주,11
띵곡들,11
척,11
적재,11
뿌셔,11
스,11
데이먼,11
있을래,10
락스타,10
샹치,10
무한,10
있어주었죠,10
곁,10
길어,10
멋있게,10
오,10
어땠어,10
가득하길,10
설렘으로,10
무슨,10
우울,10
있더라,10
오묘한,10
깊어가는,10
마치,10
장면,10
벽난로,10
그린,10
노랠,10
감정,10
짝사랑,10
렁,10
몽,10
꼬실려,10
즐겁게,10
셀,10
다음,10
생,10
다가,10
이나,10
연수,10
오늘밤,9
좋으니까,9
스웨,9
신나게,9
걸음걸이,9
쌘,9
분업,9
플라워,9
하디,9
섹시함은,9
다운,9
눈동자,9
장건,9
프라,9
블루,9
저절로,9
시온,9
뭉게뭉게,9
이번,9
아까운,9
있는데,8
뮤지션,8
호프,8
흔한,8
유니크,8
힘들어하는,8
았었는데,8
없었으면,7
담담하게,7
서툴지만,7
토리,6
빨래,6
햇빛,6
음원,5
히어로,5
주노,5
마블,5
젊은,3
나쁘지만은,3
외로움,3
현재,3
로럴,3
페스티벌,2
상점,1
헤이즈,1
버거울지라도,1
할아버지,1
잡고,1
다니엘,1
무더웠던,1
시저,1
걷기,1
베이커,1
서교동,1
차분한,1
드립커피,1
플랫,1
맛있는,1
서점,1
지난,1
